Date,Price,Open,High,Low,Vol.,Change %
04/26/2024,1240.5,1227.69,1245.52,1225.55,188.65K,0.55%
04/25/2024,1233.72,1235.25,1236.99,1226.76,157.69K,0.13%
04/24/2024,1232.17,1210.05,1234.87,1207.92,215.46K,2.65%
04/23/2024,1200.37,1207.76,1213.96,1191.61,252.38K,-0.52%
04/22/2024,1206.64,1204.41,1214.24,1200.15,189.96K,1.06%
04/19/2024,1194.03,1207.21,1210.32,1186.51,299.95K,-1.38%
04/17/2024,1210.74,1232.89,1237.08,1209.42,234.13K,-1.78%
04/16/2024,1232.7,1228.32,1234.28,1209.99,353.36K,0.39%
04/15/2024,1227.9,1283.98,1287.46,1227.9,462.54K,-4.42%
04/12/2024,1284.74,1263.17,1285.3,1262.41,248.40K,1.73%
04/11/2024,1262.86,1262.96,1266.71,1254.64,169.92K,-0.08%
04/10/2024,1263.82,1271.37,1276.08,1263.82,195.64K,-0.24%
04/09/2024,1266.92,1255.84,1266.92,1252.58,173.36K,0.97%
04/08/2024,1254.72,1257.23,1260.17,1248.24,222.16K,-0.24%
04/05/2024,1257.78,1258.11,1265.65,1251.84,258.24K,-0.78%
04/04/2024,1267.65,1274.22,1278.67,1267.47,259.16K,-0.52%
04/03/2024,1274.27,1287.64,1290.84,1273.15,257.48K,-1.40%
04/02/2024,1292.3,1283.11,1292.3,1273.16,365.46K,-0.02%
04/01/2024,1292.62,1293.36,1298.59,1284.2,227.98K,-0.33%
03/29/2024,1296.9,1305.41,1306.01,1294.97,217.26K,-0.48%
03/28/2024,1303.2,1294.29,1306.4,1294.29,274.15K,1.12%
03/27/2024,1288.77,1288.19,1290.76,1279.68,188.46K,0.20%
03/26/2024,1286.23,1270.84,1287.89,1266.79,210.11K,1.28%
03/25/2024,1270,1283.64,1288.91,1266.97,269.84K,-1.10%
03/22/2024,1284.14,1287.63,1295.79,1276.81,345.96K,0.20%
03/21/2024,1281.57,1267.37,1281.57,1264.28,273.24K,1.79%
03/20/2024,1259.06,1236.45,1262.31,1228.49,295.41K,1.97%
03/19/2024,1234.74,1235.48,1241.23,1229.02,197.18K,-0.08%
